Time,Open,High,Low,Close,Volume
2023-06-02T05:00:00+0000,21.4,21.45,20.6,20.8548,11091
2023-06-05T05:00:00+0000,21.0,21.05,20.6,20.65,6506
2023-06-06T05:00:00+0000,20.65,20.75,19.76,19.8306,13090
2023-06-07T05:00:00+0000,19.9,20.1,19.8,19.9692,7784
2023-06-08T05:00:00+0000,20.03,20.07,19.47,19.5489,8526
2023-06-09T05:00:00+0000,19.56,19.7,19.32,19.5,6843
2023-06-12T05:00:00+0000,19.5,19.76,19.38,19.4521,9916
2023-06-13T05:00:00+0000,19.42,19.55,19.2,19.4069,10385
2023-06-14T05:00:00+0000,19.56,19.65,19.1,19.1996,15693
2023-06-15T05:00:00+0000,19.2,19.4,19.05,19.3663,9781
2023-06-16T05:00:00+0000,19.4,19.45,18.92,19.0387,656
2023-06-19T05:00:00+0000,19.05,19.15,19.04,19.1,656
2023-06-20T05:00:00+0000,19.05,19.35,18.95,19.1516,19064
2023-06-21T05:00:00+0000,19.07,19.13,18.8,18.8955,16783
2023-06-22T05:00:00+0000,18.9,19.1,18.6,18.694000000000003,11346
2023-06-23T05:00:00+0000,18.7,19.1,18.67,18.8981,15199
2023-06-26T05:00:00+0000,18.88,19.01,18.45,18.6367,17673
2023-06-27T05:00:00+0000,18.67,18.7,18.0,18.1382,12784
2023-06-28T05:00:00+0000,18.14,18.25,17.6,17.635,14343
2023-06-29T05:00:00+0000,17.71,18.0,17.59,17.9989,15043
2023-06-30T05:00:00+0000,17.92,17.95,17.5,17.6031,13776
2023-07-03T05:00:00+0000,17.6,17.6,17.45,17.5663,1393
2023-07-04T05:00:00+0000,17.6,17.65,17.55,17.64,1393
2023-07-05T05:00:00+0000,17.63,17.81,17.5,17.5986,14434
2023-07-06T05:00:00+0000,17.6,19.22,17.6,18.2209,36891
2023-07-07T05:00:00+0000,18.35,18.55,17.7,17.9438,22986
2023-07-10T05:00:00+0000,17.95,18.3,17.65,17.6561,18263
2023-07-11T05:00:00+0000,17.8,17.88,17.4,17.6443,23720
2023-07-12T05:00:00+0000,17.63,17.75,17.0,17.1007,24767
2023-07-13T05:00:00+0000,17.07,17.15,16.7,17.1,27341
2023-07-14T05:00:00+0000,17.11,17.4,16.95,17.042,24893
2023-07-17T05:00:00+0000,17.05,17.15,16.75,17.0817,23265
2023-07-18T05:00:00+0000,17.11,17.16,16.9,17.0424,24745
2023-07-19T05:00:00+0000,17.05,17.41,16.85,17.3468,40609
2023-07-20T05:00:00+0000,17.33,17.57,17.15,17.2747,35949
2023-07-21T05:00:00+0000,17.3,17.3,16.8,17.0242,45054
2023-07-24T05:00:00+0000,17.1,17.12,16.6,16.6594,38485
2023-07-25T05:00:00+0000,16.67,16.8,16.4,16.7516,35553
2023-07-26T05:00:00+0000,16.71,16.92,16.3,16.3968,46718
2023-07-27T05:00:00+0000,16.43,17.35,16.12,16.9633,66458
2023-07-28T05:00:00+0000,16.92,16.96,16.3,16.5351,53975
2023-07-31T05:00:00+0000,16.58,16.65,16.28,16.3393,46556
2023-08-01T05:00:00+0000,16.38,16.85,16.35,16.5652,45016
2023-08-02T05:00:00+0000,16.75,18.21,16.71,17.7566,96353
2023-08-03T05:00:00+0000,17.88,18.57,17.4,17.6502,73007
2023-08-04T05:00:00+0000,17.65,18.35,16.82,18.1354,86514
2023-08-07T05:00:00+0000,18.05,18.1,17.25,17.4,65335
2023-08-08T05:00:00+0000,17.3,19.15,17.28,17.7233,112856
2023-08-09T05:00:00+0000,17.71,18.26,17.2,17.5875,101278
2023-08-10T05:00:00+0000,17.62,18.15,16.65,17.6997,120996
2023-08-11T05:00:00+0000,17.65,18.15,16.95,17.0503,89047
2023-08-14T05:00:00+0000,17.0,17.6,16.7,16.7773,79749
2023-08-15T05:00:00+0000,16.8,17.9,16.55,17.695999999999998,131187
2023-08-16T05:00:00+0000,17.8,18.05,17.15,18.0118,102279
2023-08-17T05:00:00+0000,18.0,18.95,17.6,18.8548,110436
2023-08-18T05:00:00+0000,18.85,19.55,18.2,18.4487,123229
2023-08-21T05:00:00+0000,18.44,18.55,17.75,17.8493,73538
2023-08-22T05:00:00+0000,17.96,18.26,17.37,17.901,66200
2023-08-23T05:00:00+0000,17.9,17.92,17.03,17.2933,64269
2023-08-24T05:00:00+0000,16.9,18.15,16.8,18.0102,82393
2023-08-25T05:00:00+0000,18.1,18.3,16.95,17.1776,91181
2023-08-28T05:00:00+0000,17.15,17.22,16.4,16.4326,70189
2023-08-29T05:00:00+0000,16.42,16.6,15.76,15.9027,81786
2023-08-30T05:00:00+0000,15.9,16.05,15.25,15.3029,65723
2023-08-31T05:00:00+0000,15.28,15.41,14.93,15.0438,65940
2023-09-01T05:00:00+0000,15.02,15.05,14.6,14.7971,3959
2023-09-04T05:00:00+0000,14.8,14.95,14.6,14.9,3959
2023-09-05T05:00:00+0000,14.85,15.25,14.7,14.9927,60491
2023-09-06T05:00:00+0000,15.15,15.8,15.0,15.3467,83014
2023-09-07T05:00:00+0000,15.3,16.2,15.2,15.3022,79487
2023-09-08T05:00:00+0000,15.25,15.7,14.65,14.9405,81943
2023-09-11T05:00:00+0000,14.85,14.9,14.4,14.5844,82684
2023-09-12T05:00:00+0000,14.62,14.85,14.25,14.6385,74046
2023-09-13T05:00:00+0000,14.6,14.95,13.9,13.9985,90267
2023-09-14T05:00:00+0000,13.95,13.96,13.3,13.3689,72471
2023-09-15T05:00:00+0000,13.35,14.4,13.25,14.2528,81549
2023-09-18T05:00:00+0000,14.15,14.63,13.85,14.0971,61304
2023-09-19T05:00:00+0000,13.99,14.75,13.8,14.0519,66821
2023-09-20T05:00:00+0000,14.16,14.25,13.8,13.96,2293
