Time,Open,High,Low,Close,Volume
2006-01-23T06:00:00+0000,14.28,14.28,14.28,14.28,0
2006-01-24T06:00:00+0000,14.1,14.16,13.98,14.02,14
2006-01-25T06:00:00+0000,13.79,13.95,13.79,13.82,202
2006-01-26T06:00:00+0000,13.78,13.78,13.68,13.68,8
2006-01-27T06:00:00+0000,13.4,13.4,13.35,13.35,10
2006-01-30T06:00:00+0000,13.36,13.4,13.21,13.21,15
2006-01-31T06:00:00+0000,13.13,13.24,13.1,13.19,210
2006-02-01T06:00:00+0000,13.03,13.14,13.03,13.14,21
2006-02-02T06:00:00+0000,13.25,13.28,13.23,13.23,16
2006-02-03T06:00:00+0000,13.33,13.33,13.07,13.17,28
2006-02-06T06:00:00+0000,13.1,13.23,13.1,13.23,8
2006-02-07T06:00:00+0000,13.3,13.32,13.29,13.29,11
2006-02-08T06:00:00+0000,13.18,13.18,13.0,13.05,19
2006-02-09T06:00:00+0000,13.0,13.0,12.8,12.89,8
2006-02-10T06:00:00+0000,13.0,13.08,12.8,12.85,22
2006-02-13T06:00:00+0000,12.9,13.15,12.9,13.07,30
2006-02-14T06:00:00+0000,13.22,13.22,12.9,12.93,16
2006-02-15T06:00:00+0000,13.0,13.12,12.95,12.99,278
2006-02-16T06:00:00+0000,12.98,12.98,12.7,12.74,102
2006-02-17T06:00:00+0000,12.82,12.82,12.6,12.6,31
2006-02-21T06:00:00+0000,12.48,12.55,12.43,12.44,32
2006-02-22T06:00:00+0000,12.34,12.34,12.19,12.19,30
2006-02-23T06:00:00+0000,12.28,12.29,12.2,12.2,62
2006-02-24T06:00:00+0000,12.2,12.8,12.1,12.1,38
2006-02-27T06:00:00+0000,11.99,12.0,11.95,11.96,72
2006-02-28T06:00:00+0000,12.02,12.25,11.91,12.19,490
2006-03-01T06:00:00+0000,12.17,12.17,12.04,12.05,117
2006-03-02T06:00:00+0000,12.11,12.21,12.07,12.07,44
2006-03-03T06:00:00+0000,12.1,12.11,12.0,12.11,31
2006-03-06T06:00:00+0000,12.2,12.39,12.2,12.34,48
2006-03-07T06:00:00+0000,12.4,12.57,12.34,12.44,62
2006-03-08T06:00:00+0000,12.51,12.55,12.14,12.25,51
2006-03-09T06:00:00+0000,12.36,12.38,12.3,12.38,8
2006-03-10T06:00:00+0000,12.29,12.29,12.21,12.21,17
2006-03-13T06:00:00+0000,12.12,12.12,11.78,11.88,56
2006-03-14T06:00:00+0000,11.8,11.81,11.5,11.51,90
2006-03-15T06:00:00+0000,11.57,11.57,11.44,11.48,18
2006-03-16T06:00:00+0000,11.4,11.5,11.4,11.45,10
2006-03-17T06:00:00+0000,11.5,11.72,11.5,11.66,15
2006-03-20T06:00:00+0000,11.6,11.65,10.8,11.5,332
2006-03-21T06:00:00+0000,11.64,11.64,11.21,11.53,73
2006-03-22T06:00:00+0000,11.15,11.15,11.15,11.15,0
