Time,Open,High,Low,Close,Volume
2019-07-03T05:00:00+0000,16.47,16.58,16.35,16.375,797
2019-07-05T05:00:00+0000,16.45,16.82,16.27,16.425,14638
2019-07-08T05:00:00+0000,16.37,16.75,16.35,16.675,12664
2019-07-09T05:00:00+0000,16.7,16.9,16.65,16.775,8782
2019-07-10T05:00:00+0000,16.8,16.88,16.45,16.525,14717
2019-07-11T05:00:00+0000,16.53,16.63,16.35,16.425,14350
2019-07-12T05:00:00+0000,16.41,16.47,16.3,16.375,11685
2019-07-15T05:00:00+0000,16.35,16.55,16.29,16.425,15977
2019-07-16T05:00:00+0000,16.4,16.63,16.31,16.625,16681
2019-07-17T05:00:00+0000,16.65,16.92,16.4,16.875,20271
2019-07-18T05:00:00+0000,16.87,17.0,16.57,16.725,24982
2019-07-19T05:00:00+0000,16.65,17.0,16.6,16.975,23268
2019-07-22T05:00:00+0000,16.95,17.0,16.66,16.775,16968
2019-07-23T05:00:00+0000,16.77,16.78,16.4,16.525,16892
2019-07-24T05:00:00+0000,16.55,16.61,16.1,16.225,20878
2019-07-25T05:00:00+0000,16.26,16.6,16.05,16.525,26128
2019-07-26T05:00:00+0000,16.55,16.56,16.12,16.275,18927
2019-07-29T05:00:00+0000,16.3,16.45,16.22,16.275,14608
2019-07-30T05:00:00+0000,16.31,16.76,16.25,16.725,25330
2019-07-31T05:00:00+0000,16.62,17.49,16.37,17.375,36273
2019-08-01T05:00:00+0000,17.3,17.92,16.72,17.725,63486
2019-08-02T05:00:00+0000,17.77,18.15,17.5,17.675,41744
2019-08-05T05:00:00+0000,17.65,19.7,17.6,19.575,45996
2019-08-06T05:00:00+0000,19.85,20.52,18.52,18.925,61675
2019-08-07T05:00:00+0000,18.95,19.61,18.6,18.775,42926
2019-08-08T05:00:00+0000,18.84,18.95,17.85,17.925,29816
2019-08-09T05:00:00+0000,18.05,18.57,18.0,18.325,27149
2019-08-12T05:00:00+0000,18.25,19.475,18.07,19.475,29114
2019-08-13T05:00:00+0000,19.3,19.62,18.3,18.35,46281
2019-08-14T05:00:00+0000,18.45,20.25,18.36,19.825,48978
2019-08-15T05:00:00+0000,19.87,20.37,19.35,19.875,34857
2019-08-16T05:00:00+0000,19.84,19.84,19.15,19.175,29669
2019-08-19T05:00:00+0000,19.15,19.15,18.2,18.275,40385
2019-08-20T05:00:00+0000,18.34,18.75,18.21,18.675,43850
2019-08-21T05:00:00+0000,18.75,18.81,17.92,18.025,49938
2019-08-22T05:00:00+0000,17.97,18.65,17.9,18.325,53056
2019-08-23T05:00:00+0000,18.24,20.15,18.0,19.475,100739
2019-08-26T05:00:00+0000,20.15,20.5,18.98,19.425,63083
2019-08-27T05:00:00+0000,19.45,20.3,19.15,20.075,53045
2019-08-28T05:00:00+0000,19.95,20.47,19.6,19.625,56443
2019-08-29T05:00:00+0000,19.65,19.93,18.85,19.025,57950
2019-08-30T05:00:00+0000,19.1,19.43,18.72,19.175,5144
2019-09-03T05:00:00+0000,19.5,19.85,19.2,19.525,88898
2019-09-04T05:00:00+0000,19.55,19.6,18.65,18.675,74025
2019-09-05T05:00:00+0000,18.8,18.8,17.95,18.225,79100
2019-09-06T05:00:00+0000,18.25,18.3,17.65,17.725,65410
2019-09-09T05:00:00+0000,17.65,18.1,17.46,17.675,58790
2019-09-10T05:00:00+0000,17.67,18.1,17.55,17.675,67038
2019-09-11T05:00:00+0000,17.7,17.8,17.25,17.325,70180
2019-09-12T05:00:00+0000,17.35,17.42,16.9,17.025,86213
2019-09-13T05:00:00+0000,17.05,17.06,16.7,16.875,62541
2019-09-16T05:00:00+0000,17.35,17.48,16.82,17.275,82181
2019-09-17T05:00:00+0000,17.2,17.45,17.05,17.075,77439
2019-09-18T05:00:00+0000,17.08,17.4,16.35,16.375,113601
2019-09-19T05:00:00+0000,16.4,16.9,15.95,16.225,69824
2019-09-20T05:00:00+0000,16.3,17.3,16.0,17.225,92268
2019-09-23T05:00:00+0000,17.25,17.35,16.65,16.725,60493
2019-09-24T05:00:00+0000,16.7,18.0,16.4,17.875,130108
2019-09-25T05:00:00+0000,17.85,18.55,17.2,17.225,98547
2019-09-26T05:00:00+0000,17.25,17.95,17.0,17.425,82484
2019-09-27T05:00:00+0000,17.5,18.65,17.1,18.025,106417
2019-09-30T05:00:00+0000,17.8,18.0,17.1,17.125,62398
2019-10-01T05:00:00+0000,17.15,18.6,16.78,18.575,97975
2019-10-02T05:00:00+0000,18.45,20.4,18.08,20.075,157247
2019-10-03T05:00:00+0000,20.1,20.6,18.95,18.975,123495
2019-10-04T05:00:00+0000,19.02,19.6,17.55,17.625,95443
2019-10-07T05:00:00+0000,18.25,18.45,17.31,17.975,64546
2019-10-08T05:00:00+0000,18.0,20.25,17.65,20.075,109376
2019-10-09T05:00:00+0000,20.05,20.15,18.4,18.575,87342
2019-10-10T05:00:00+0000,18.65,19.96,17.23,17.625,80863
2019-10-11T05:00:00+0000,17.4,17.6,15.5,15.825,109701
2019-10-14T05:00:00+0000,15.95,16.4,14.49,14.525,71275
2019-10-15T05:00:00+0000,14.55,14.6,13.5,13.625,82311
2019-10-16T05:00:00+0000,13.68,14.3,13.6,13.78,1114
