Time,Open,High,Low,Close,Volume
2014-07-03T05:00:00+0000,14.59,14.6,14.4,14.5,12469
2014-07-07T05:00:00+0000,14.5,14.75,14.3,14.75,7296
2014-07-08T05:00:00+0000,14.75,15.09,14.65,14.75,17924
2014-07-09T05:00:00+0000,14.7,14.73,14.43,14.55,17615
2014-07-10T05:00:00+0000,14.52,14.95,14.48,14.75,23358
2014-07-11T05:00:00+0000,14.7,14.74,14.5,14.65,11388
2014-07-14T05:00:00+0000,14.55,14.55,14.2,14.25,14692
2014-07-15T05:00:00+0000,14.24,14.5,14.17,14.35,18598
2014-07-16T05:00:00+0000,14.33,14.43,14.08,14.4,23582
2014-07-17T05:00:00+0000,14.35,15.34,14.3,14.8,33107
2014-07-18T05:00:00+0000,14.78,15.3,14.22,14.4,24336
2014-07-21T05:00:00+0000,14.35,14.65,14.2,14.5,19904
2014-07-22T05:00:00+0000,14.5,14.53,14.15,14.35,18438
2014-07-23T05:00:00+0000,14.35,14.55,14.25,14.5,15431
2014-07-24T05:00:00+0000,14.45,14.65,14.37,14.65,14056
2014-07-25T05:00:00+0000,14.64,14.87,14.6,14.85,17137
2014-07-28T05:00:00+0000,14.83,14.95,14.65,14.75,12560
2014-07-29T05:00:00+0000,14.7,14.8,14.5,14.7,16279
2014-07-30T05:00:00+0000,14.65,14.85,14.45,14.8,23306
2014-07-31T05:00:00+0000,14.75,15.75,14.75,15.75,43593
2014-08-01T05:00:00+0000,15.7,16.33,15.13,16.25,52884
2014-08-04T05:00:00+0000,16.19,16.37,15.35,15.7,27615
2014-08-05T05:00:00+0000,15.68,16.6,15.63,16.45,37159
2014-08-06T05:00:00+0000,16.42,16.72,16.03,16.55,24669
2014-08-07T05:00:00+0000,16.52,17.1,16.18,16.95,34567
2014-08-08T05:00:00+0000,16.9,17.8,16.3,16.45,28451
2014-08-11T05:00:00+0000,16.44,16.67,15.6,15.8,25829
2014-08-12T05:00:00+0000,15.77,15.95,15.6,15.7,17813
2014-08-13T05:00:00+0000,15.65,15.65,15.0,15.05,19198
2014-08-14T05:00:00+0000,15.05,15.15,14.55,14.6,23304
2014-08-15T05:00:00+0000,14.6,15.3,14.45,14.55,35080
2014-08-18T05:00:00+0000,14.51,14.51,14.0,14.15,25270
2014-08-19T05:00:00+0000,14.1,14.15,13.95,14.1,28890
2014-08-20T05:00:00+0000,14.1,14.4,14.05,14.2,39248
2014-08-21T05:00:00+0000,14.16,14.37,14.1,14.15,29730
2014-08-22T05:00:00+0000,14.14,14.47,14.1,14.25,35158
2014-08-25T05:00:00+0000,14.23,14.25,13.97,14.15,26495
2014-08-26T05:00:00+0000,14.15,14.35,14.08,14.35,30264
2014-08-27T05:00:00+0000,14.35,14.5,14.25,14.45,24673
2014-08-28T05:00:00+0000,14.45,14.93,14.4,14.45,33100
2014-08-29T05:00:00+0000,14.45,14.65,14.3,14.55,28392
2014-09-02T05:00:00+0000,14.5,14.7,14.43,14.65,32758
2014-09-03T05:00:00+0000,14.63,14.67,14.4,14.5,36708
2014-09-04T05:00:00+0000,14.5,14.65,14.2,14.45,46850
2014-09-05T05:00:00+0000,14.45,14.65,14.15,14.2,39553
2014-09-08T05:00:00+0000,14.2,14.45,14.2,14.25,34625
2014-09-09T05:00:00+0000,14.25,14.65,14.2,14.55,51918
2014-09-10T05:00:00+0000,14.55,14.85,14.35,14.5,49677
2014-09-11T05:00:00+0000,14.45,14.8,14.4,14.5,55206
2014-09-12T05:00:00+0000,14.45,15.0,14.4,14.8,91432
2014-09-15T05:00:00+0000,14.85,15.25,14.8,15.2,83156
2014-09-16T05:00:00+0000,15.2,15.35,14.3,14.4,112884
2014-09-17T05:00:00+0000,14.35,14.5,13.95,14.25,102120
2014-09-18T05:00:00+0000,14.25,14.3,14.0,14.05,50441
2014-09-19T05:00:00+0000,14.05,14.3,13.79,14.15,80227
2014-09-22T05:00:00+0000,14.15,14.9,14.1,14.9,97080
2014-09-23T05:00:00+0000,14.85,15.4,14.7,15.4,109319
2014-09-24T05:00:00+0000,15.35,15.5,14.55,14.65,81477
2014-09-25T05:00:00+0000,14.6,16.08,14.6,15.8,178673
2014-09-26T05:00:00+0000,15.75,15.85,15.0,15.35,99773
2014-09-29T05:00:00+0000,15.3,16.35,15.3,16.25,108246
2014-09-30T05:00:00+0000,16.25,16.43,15.75,16.3,93672
2014-10-01T05:00:00+0000,16.25,17.15,16.14,16.9,116788
2014-10-02T05:00:00+0000,16.9,17.3,16.1,16.55,114602
2014-10-03T05:00:00+0000,16.5,16.65,15.05,15.2,100646
2014-10-06T05:00:00+0000,15.2,15.75,14.68,15.75,73921
2014-10-07T05:00:00+0000,15.7,17.1,15.65,17.1,105854
2014-10-08T05:00:00+0000,17.05,17.34,15.15,15.25,114924
2014-10-09T05:00:00+0000,15.2,17.25,15.08,17.2,172828
2014-10-10T05:00:00+0000,17.15,20.0,16.69,19.8,208690
2014-10-13T05:00:00+0000,19.75,22.85,18.75,22.75,204791
2014-10-14T05:00:00+0000,22.65,23.0,19.6,20.9,215608
2014-10-15T05:00:00+0000,20.9,25.32,20.5,23.95,324599
2014-10-16T05:00:00+0000,23.7,26.35,21.4,22.3,186749
2014-10-17T05:00:00+0000,22.25,22.35,19.25,21.0,106811
2014-10-20T05:00:00+0000,20.5,21.47,18.2,18.5,72095
2014-10-21T05:00:00+0000,18.45,19.2,16.25,16.35,59469
2014-10-22T05:00:00+0000,15.92,15.92,15.92,15.92,0
