Time,Open,High,Low,Close,Volume
2009-06-02T05:00:00+0000,30.6,31.15,30.45,30.95,118
2009-06-03T05:00:00+0000,31.05,32.4,31.05,32.1,340
2009-06-04T05:00:00+0000,32.0,32.2,31.7,31.85,80
2009-06-05T05:00:00+0000,31.4,32.51,31.4,31.85,123
2009-06-08T05:00:00+0000,32.15,32.65,31.65,31.75,51
2009-06-09T05:00:00+0000,31.3,31.9,30.85,31.15,183
2009-06-10T05:00:00+0000,30.9,32.2,30.9,31.45,430
2009-06-11T05:00:00+0000,30.95,31.1,30.7,30.9,108
2009-06-12T05:00:00+0000,31.05,31.25,30.3,30.45,258
2009-06-15T05:00:00+0000,31.3,31.4,30.99,31.25,153
2009-06-16T05:00:00+0000,30.7,32.15,30.7,32.05,290
2009-06-17T05:00:00+0000,31.85,32.55,31.8,32.0,370
2009-06-18T05:00:00+0000,31.9,32.2,31.7,31.9,87
2009-06-19T05:00:00+0000,31.7,32.1,31.2,31.7,661
2009-06-22T05:00:00+0000,32.0,32.95,32.0,32.6,176
2009-06-23T05:00:00+0000,32.5,32.72,32.2,32.3,345
2009-06-24T05:00:00+0000,31.85,31.9,31.35,31.6,249
2009-06-25T05:00:00+0000,31.8,31.8,30.62,30.85,349
2009-06-26T05:00:00+0000,30.96,31.0,30.4,30.5,262
2009-06-29T05:00:00+0000,30.35,30.6,29.53,29.7,148
2009-06-30T05:00:00+0000,29.5,30.25,29.35,30.0,195
2009-07-01T05:00:00+0000,29.6,29.8,29.15,29.8,153
2009-07-02T05:00:00+0000,30.15,31.2,30.15,31.1,178
2009-07-06T05:00:00+0000,31.4,31.7,31.05,31.05,418
2009-07-07T05:00:00+0000,31.35,31.95,31.3,31.9,124
2009-07-08T05:00:00+0000,31.75,33.35,31.65,32.3,482
2009-07-09T05:00:00+0000,31.8,32.3,31.8,32.25,1965
2009-07-10T05:00:00+0000,32.45,32.75,32.15,32.5,190
2009-07-13T05:00:00+0000,32.4,32.55,31.5,31.7,349
2009-07-14T05:00:00+0000,31.7,31.9,31.1,31.2,300
2009-07-15T05:00:00+0000,31.0,31.05,30.25,30.65,342
2009-07-16T05:00:00+0000,30.6,30.65,29.8,30.15,545
2009-07-17T05:00:00+0000,30.15,30.3,29.9,30.25,246
2009-07-20T05:00:00+0000,29.9,30.1,29.4,29.45,337
2009-07-21T05:00:00+0000,29.3,29.85,29.25,29.35,319
2009-07-22T05:00:00+0000,29.6,29.6,28.5,29.2,1041
2009-07-23T05:00:00+0000,29.0,29.0,28.2,28.45,717
2009-07-24T05:00:00+0000,28.5,28.75,28.28,28.55,649
2009-07-27T05:00:00+0000,28.5,29.4,28.5,28.95,1363
2009-07-28T05:00:00+0000,29.15,29.95,28.95,29.85,1351
2009-07-29T05:00:00+0000,29.65,30.15,29.45,30.05,1367
2009-07-30T05:00:00+0000,29.55,29.55,29.0,29.3,1451
2009-07-31T05:00:00+0000,29.55,29.7,28.95,29.7,919
2009-08-03T05:00:00+0000,29.0,29.45,28.9,29.1,1547
2009-08-04T05:00:00+0000,29.55,29.65,28.7,28.85,1443
2009-08-05T05:00:00+0000,29.0,29.3,28.6,28.85,1668
2009-08-06T05:00:00+0000,28.7,29.2,28.45,28.95,2008
2009-08-07T05:00:00+0000,28.6,28.7,27.55,28.05,1772
2009-08-10T05:00:00+0000,28.25,28.95,27.85,28.1,2242
2009-08-11T05:00:00+0000,28.3,29.5,28.2,28.6,2381
2009-08-12T05:00:00+0000,28.55,28.85,27.8,28.35,2330
2009-08-13T05:00:00+0000,28.2,28.6,27.45,27.8,5231
2009-08-14T05:00:00+0000,27.75,28.65,27.75,28.3,3393
2009-08-17T05:00:00+0000,28.9,30.05,28.9,29.9,3815
2009-08-18T05:00:00+0000,29.8,29.9,29.1,29.25,2824
2009-08-19T05:00:00+0000,29.7,29.7,28.05,28.35,1920
2009-08-20T05:00:00+0000,28.3,28.35,27.7,27.8,2039
2009-08-21T05:00:00+0000,27.55,27.65,27.15,27.35,2526
2009-08-24T05:00:00+0000,27.35,27.5,26.95,27.4,1512
2009-08-25T05:00:00+0000,27.3,28.4,27.15,27.75,4231
2009-08-26T05:00:00+0000,27.9,28.6,27.9,28.3,2370
2009-08-27T05:00:00+0000,28.3,29.0,27.65,27.8,1907
2009-08-28T05:00:00+0000,27.4,28.25,27.2,28.1,2174
2009-08-31T05:00:00+0000,28.5,29.1,28.45,28.5,1740
2009-09-01T05:00:00+0000,28.6,30.35,28.25,30.05,2665
2009-09-02T05:00:00+0000,30.05,30.6,29.95,30.5,2763
2009-09-03T05:00:00+0000,30.45,30.45,28.65,28.95,2923
2009-09-04T05:00:00+0000,28.95,29.0,27.5,27.6,1203
2009-09-08T05:00:00+0000,27.2,27.25,26.6,26.7,3908
2009-09-09T05:00:00+0000,26.7,26.75,25.65,25.95,2926
2009-09-10T05:00:00+0000,25.45,25.85,24.4,24.45,3833
2009-09-11T05:00:00+0000,24.55,24.95,23.7,24.75,7489
2009-09-14T05:00:00+0000,24.95,25.25,23.75,23.85,4519
2009-09-15T05:00:00+0000,23.75,24.0,23.25,23.5,3435
2009-09-16T05:00:00+0000,23.64,23.64,23.64,23.64,0
