Time,Open,High,Low,Close,Volume
2019-09-03T05:00:00+0000,18.86,19.17,18.67,19.025,15411
2019-09-04T05:00:00+0000,19.04,19.05,18.37,18.4,10058
2019-09-05T05:00:00+0000,18.43,18.46,17.91,18.175,15508
2019-09-06T05:00:00+0000,18.17,18.21,17.8,17.875,9746
2019-09-09T05:00:00+0000,17.83,18.12,17.7,17.775,12859
2019-09-10T05:00:00+0000,17.78,18.08,17.67,17.875,12177
2019-09-11T05:00:00+0000,17.92,18.0,17.7,17.725,9063
2019-09-12T05:00:00+0000,17.75,17.82,17.5,17.575,13016
2019-09-13T05:00:00+0000,17.55,17.65,17.36,17.625,9970
2019-09-16T05:00:00+0000,17.75,17.95,17.55,17.925,12081
2019-09-17T05:00:00+0000,17.86,18.15,17.85,18.025,23469
2019-09-18T05:00:00+0000,18.05,18.2,17.67,17.725,32423
2019-09-19T05:00:00+0000,17.7,18.0,17.45,17.725,16793
2019-09-20T05:00:00+0000,17.74,18.4,17.53,18.375,18972
2019-09-23T05:00:00+0000,18.31,18.4,18.0,18.075,14547
2019-09-24T05:00:00+0000,18.02,18.7,17.85,18.575,25971
2019-09-25T05:00:00+0000,18.54,18.85,18.25,18.325,22284
2019-09-26T05:00:00+0000,18.35,18.68,18.15,18.525,23164
2019-09-27T05:00:00+0000,18.53,19.08,18.26,18.8,22679
2019-09-30T05:00:00+0000,18.65,18.75,18.3,18.325,16656
2019-10-01T05:00:00+0000,18.4,19.07,18.1,19.025,20630
2019-10-02T05:00:00+0000,18.95,19.87,18.77,19.825,38505
2019-10-03T05:00:00+0000,19.7,20.15,19.17,19.225,29222
2019-10-04T05:00:00+0000,19.22,19.51,18.6,18.625,19108
2019-10-07T05:00:00+0000,18.9,19.1,18.45,18.675,16977
2019-10-08T05:00:00+0000,18.75,19.75,18.5,19.725,24067
2019-10-09T05:00:00+0000,19.7,19.75,19.0,19.175,23985
2019-10-10T05:00:00+0000,19.2,19.82,18.66,18.825,28430
2019-10-11T05:00:00+0000,18.75,18.85,18.05,18.425,41851
2019-10-14T05:00:00+0000,18.36,18.55,17.82,17.875,36721
2019-10-15T05:00:00+0000,17.95,18.02,17.45,17.525,46718
2019-10-16T05:00:00+0000,17.57,17.83,17.45,17.475,51109
2019-10-17T05:00:00+0000,17.47,17.62,17.22,17.425,43553
2019-10-18T05:00:00+0000,17.4,17.9,17.35,17.525,49234
2019-10-21T05:00:00+0000,17.6,17.65,17.2,17.225,29444
2019-10-22T05:00:00+0000,17.22,17.6,17.09,17.575,38680
2019-10-23T05:00:00+0000,17.6,17.76,17.3,17.325,31692
2019-10-24T05:00:00+0000,17.3,17.48,17.13,17.275,34506
2019-10-25T05:00:00+0000,17.25,17.3,16.75,16.925,41743
2019-10-28T05:00:00+0000,16.9,17.05,16.72,17.025,43500
2019-10-29T05:00:00+0000,17.0,17.2,16.85,17.025,36712
2019-10-30T05:00:00+0000,16.99,17.21,16.45,16.475,58806
2019-10-31T05:00:00+0000,16.55,17.1,16.5,16.725,55113
2019-11-01T05:00:00+0000,16.75,16.77,16.07,16.175,68011
2019-11-04T06:00:00+0000,16.15,16.25,15.9,16.225,56295
2019-11-05T06:00:00+0000,16.25,16.6,16.1,16.575,62545
2019-11-06T06:00:00+0000,16.6,16.7,16.3,16.325,79034
2019-11-07T06:00:00+0000,16.3,16.4,16.05,16.175,64082
2019-11-08T06:00:00+0000,16.2,16.45,15.95,16.025,53888
2019-11-11T06:00:00+0000,16.08,16.35,15.8,15.825,56522
2019-11-12T06:00:00+0000,15.85,15.95,15.65,15.825,52372
2019-11-13T06:00:00+0000,15.82,16.15,15.7,15.825,70701
2019-11-14T06:00:00+0000,15.82,16.1,15.6,15.625,59173
2019-11-15T06:00:00+0000,15.65,15.65,15.0,15.125,81191
2019-11-18T06:00:00+0000,15.15,15.2,14.7,15.025,86528
2019-11-19T06:00:00+0000,15.05,15.3,14.71,15.225,108314
2019-11-20T06:00:00+0000,15.2,15.9,15.0,15.175,129918
2019-11-21T06:00:00+0000,15.5,15.75,15.1,15.325,80562
2019-11-22T06:00:00+0000,15.35,15.4,14.75,14.775,67364
2019-11-25T06:00:00+0000,14.75,14.79,14.05,14.075,71247
2019-11-26T06:00:00+0000,14.1,14.3,13.8,13.875,67583
2019-11-27T06:00:00+0000,13.95,14.0,13.8,13.825,4923
2019-11-29T06:00:00+0000,14.07,14.25,13.95,14.125,44545
2019-12-02T06:00:00+0000,14.2,15.4,13.75,15.225,146741
2019-12-03T06:00:00+0000,15.25,16.96,15.1,16.225,176550
2019-12-04T06:00:00+0000,16.25,16.55,15.05,15.325,100646
2019-12-05T06:00:00+0000,15.35,15.75,15.0,15.025,65668
2019-12-06T06:00:00+0000,15.04,15.1,14.25,14.425,69578
2019-12-09T06:00:00+0000,14.39,15.8,14.3,15.625,81556
2019-12-10T06:00:00+0000,15.65,16.2,15.11,15.275,94786
2019-12-11T06:00:00+0000,15.35,15.55,14.75,14.775,67683
2019-12-12T06:00:00+0000,14.79,15.06,13.55,13.625,116533
2019-12-13T06:00:00+0000,13.6,14.0,12.55,12.575,136417
2019-12-16T06:00:00+0000,12.65,12.65,11.8,12.225,92074
2019-12-17T06:00:00+0000,12.15,12.55,11.9,12.475,75932
2019-12-18T06:00:00+0000,12.4,12.55,11.99,11.99,1443
