Time,Open,High,Low,Close,Volume
2008-01-02T06:00:00+0000,24.11,24.37,24.11,24.32,14
2008-01-03T06:00:00+0000,24.25,24.49,24.16,24.26,16
2008-01-04T06:00:00+0000,25.0,25.05,24.83,24.83,86
2008-01-07T06:00:00+0000,24.79,24.85,24.41,24.45,148
2008-01-08T06:00:00+0000,24.45,25.35,24.11,25.35,23
2008-01-09T06:00:00+0000,25.1,26.0,23.91,24.76,71
2008-01-10T06:00:00+0000,25.2,25.38,24.2,24.36,19
2008-01-11T06:00:00+0000,24.9,25.92,24.85,25.92,661
2008-01-14T06:00:00+0000,25.0,25.25,24.85,25.07,34
2008-01-15T06:00:00+0000,25.43,25.79,25.01,25.1,230
2008-01-16T06:00:00+0000,25.4,25.96,24.4,25.1,147
2008-01-17T06:00:00+0000,24.85,26.75,24.85,26.73,274
2008-01-18T06:00:00+0000,26.1,27.0,26.0,26.62,262
2008-01-22T06:00:00+0000,29.28,29.42,25.5,26.45,1275
2008-01-23T06:00:00+0000,27.4,27.84,25.1,25.43,387
2008-01-24T06:00:00+0000,25.43,25.65,24.51,25.42,197
2008-01-25T06:00:00+0000,25.15,25.97,25.15,25.74,43
2008-01-28T06:00:00+0000,25.75,26.1,25.23,25.23,114
2008-01-29T06:00:00+0000,25.1,25.39,24.84,25.39,190
2008-01-30T06:00:00+0000,25.89,25.89,24.64,25.55,170
2008-01-31T06:00:00+0000,25.85,25.85,24.6,25.15,122
2008-02-01T06:00:00+0000,24.4,24.95,23.79,24.7,333
2008-02-04T06:00:00+0000,24.85,25.19,24.64,25.17,112
2008-02-05T06:00:00+0000,25.7,26.77,25.62,26.63,204
2008-02-06T06:00:00+0000,26.63,27.65,26.2,27.37,277
2008-02-07T06:00:00+0000,27.55,27.55,26.61,26.7,666
2008-02-08T06:00:00+0000,27.01,27.56,26.65,27.56,449
2008-02-11T06:00:00+0000,27.56,27.8,26.79,26.81,150
2008-02-12T06:00:00+0000,26.54,26.8,26.0,26.5,260
2008-02-13T06:00:00+0000,25.7,26.45,25.4,25.78,516
2008-02-14T06:00:00+0000,25.6,26.13,25.56,26.13,291
2008-02-15T06:00:00+0000,26.4,27.0,25.85,25.91,1063
2008-02-19T06:00:00+0000,25.5,26.1,25.25,25.7,178
2008-02-20T06:00:00+0000,26.25,26.82,25.41,25.41,643
2008-02-21T06:00:00+0000,25.43,25.9,25.07,25.45,576
2008-02-22T06:00:00+0000,25.7,26.25,24.75,24.83,842
2008-02-25T06:00:00+0000,25.02,25.32,24.3,24.34,491
2008-02-26T06:00:00+0000,24.36,24.5,23.8,24.18,721
2008-02-27T06:00:00+0000,24.49,24.6,23.95,24.45,944
2008-02-28T06:00:00+0000,24.51,25.64,24.51,25.1,477
2008-02-29T06:00:00+0000,25.41,27.0,25.09,26.36,978
2008-03-03T06:00:00+0000,26.36,26.85,26.19,26.25,451
2008-03-04T06:00:00+0000,26.75,27.0,25.65,25.79,572
2008-03-05T06:00:00+0000,25.35,26.4,24.8,25.38,3447
2008-03-06T06:00:00+0000,25.6,27.5,25.5,26.99,897
2008-03-07T06:00:00+0000,27.22,27.6,26.25,26.87,1265
2008-03-10T05:00:00+0000,26.01,27.99,26.01,27.6,4213
2008-03-11T05:00:00+0000,26.74,27.49,25.92,26.09,1289
2008-03-12T05:00:00+0000,25.87,27.02,25.79,26.92,715
2008-03-13T05:00:00+0000,27.31,27.9,26.59,27.02,1410
2008-03-14T05:00:00+0000,26.71,29.09,26.5,28.52,2048
2008-03-17T05:00:00+0000,29.51,30.51,27.85,28.54,3394
2008-03-18T05:00:00+0000,27.04,27.5,26.11,26.2,3778
2008-03-19T05:00:00+0000,26.05,27.49,26.05,27.41,3721
2008-03-20T05:00:00+0000,27.47,27.55,26.75,27.0,3908
2008-03-24T05:00:00+0000,26.52,26.63,25.82,26.35,1946
2008-03-25T05:00:00+0000,26.48,26.68,25.96,26.32,830
2008-03-26T05:00:00+0000,26.61,26.95,26.42,26.95,552
2008-03-27T05:00:00+0000,26.3,26.9,25.86,26.64,1656
2008-03-28T05:00:00+0000,26.1,26.9,26.1,26.6,1692
2008-03-31T05:00:00+0000,26.5,26.7,25.92,26.01,1582
2008-04-01T05:00:00+0000,25.61,25.61,23.88,24.0,3945
2008-04-02T05:00:00+0000,24.2,24.81,23.91,24.64,2981
2008-04-03T05:00:00+0000,24.82,25.35,24.23,24.27,2989
2008-04-04T05:00:00+0000,24.4,24.69,23.79,23.96,2236
2008-04-07T05:00:00+0000,23.6,23.8,22.6,23.01,2612
2008-04-08T05:00:00+0000,23.57,23.57,22.93,23.02,1846
2008-04-09T05:00:00+0000,22.95,23.99,22.87,23.63,2413
2008-04-10T05:00:00+0000,23.57,23.8,22.68,22.85,2150
2008-04-11T05:00:00+0000,23.3,24.19,23.16,23.91,1108
2008-04-14T05:00:00+0000,23.9,24.05,23.42,23.84,1861
2008-04-15T05:00:00+0000,23.52,23.8,22.8,22.87,4235
2008-04-16T05:00:00+0000,21.78,21.78,21.78,21.78,0
