Time,Open,High,Low,Close,Volume
2010-12-31T06:00:00+0000,24.7,24.95,24.6,24.8,766
2011-01-03T06:00:00+0000,24.55,24.56,23.89,24.3,2359
2011-01-04T06:00:00+0000,24.05,24.5,24.05,24.15,1727
2011-01-05T06:00:00+0000,24.5,24.5,23.65,23.75,1830
2011-01-06T06:00:00+0000,23.7,23.9,23.5,23.75,1212
2011-01-07T06:00:00+0000,23.8,24.2,23.3,23.8,1425
2011-01-10T06:00:00+0000,24.05,24.2,23.58,23.7,1984
2011-01-11T06:00:00+0000,23.55,23.6,23.25,23.4,1537
2011-01-12T06:00:00+0000,23.25,23.25,22.6,22.7,2850
2011-01-13T06:00:00+0000,22.75,22.9,22.45,22.65,2316
2011-01-14T06:00:00+0000,22.75,22.75,21.95,22.0,5537
2011-01-18T06:00:00+0000,22.02,22.1,21.5,21.55,3437
2011-01-19T06:00:00+0000,21.5,22.45,21.5,22.2,4826
2011-01-20T06:00:00+0000,22.25,22.55,21.9,22.1,3476
2011-01-21T06:00:00+0000,21.75,22.3,21.45,22.2,4281
2011-01-24T06:00:00+0000,22.15,22.3,21.54,21.85,3376
2011-01-25T06:00:00+0000,21.95,22.15,21.55,21.6,5908
2011-01-26T06:00:00+0000,21.45,21.49,20.87,21.0,4609
2011-01-27T06:00:00+0000,21.0,21.15,20.6,20.7,4233
2011-01-28T06:00:00+0000,20.59,21.85,20.3,21.75,7596
2011-01-31T06:00:00+0000,21.6,21.6,21.08,21.5,6293
2011-02-01T06:00:00+0000,21.05,21.18,20.38,20.6,5489
2011-02-02T06:00:00+0000,20.63,20.7,20.32,20.55,4255
2011-02-03T06:00:00+0000,20.8,20.95,20.25,20.45,3709
2011-02-04T06:00:00+0000,20.25,20.55,19.9,20.05,5242
2011-02-07T06:00:00+0000,19.77,19.9,19.35,19.6,4646
2011-02-08T06:00:00+0000,19.5,19.77,19.2,19.35,3012
2011-02-09T06:00:00+0000,19.5,19.59,19.19,19.3,4272
2011-02-10T06:00:00+0000,19.5,19.65,19.1,19.3,3986
2011-02-11T06:00:00+0000,19.34,19.4,18.99,19.15,5677
2011-02-14T06:00:00+0000,19.15,19.15,18.8,18.95,4692
2011-02-15T06:00:00+0000,18.95,19.05,18.75,19.0,7337
2011-02-16T06:00:00+0000,18.8,19.35,18.6,19.35,7800
2011-02-17T06:00:00+0000,19.2,19.75,19.2,19.65,10926
2011-02-18T06:00:00+0000,19.57,20.0,19.45,19.8,6782
2011-02-22T06:00:00+0000,20.4,21.81,20.39,21.6,14851
2011-02-23T06:00:00+0000,21.6,22.95,20.65,22.55,15523
2011-02-24T06:00:00+0000,22.7,23.1,22.0,22.35,12496
2011-02-25T06:00:00+0000,22.05,22.05,20.9,21.15,11884
2011-02-28T06:00:00+0000,20.8,20.85,20.13,20.3,11239
2011-03-01T06:00:00+0000,20.15,21.75,20.1,21.7,13290
2011-03-02T06:00:00+0000,21.65,21.8,20.93,21.6,11073
2011-03-03T06:00:00+0000,20.85,21.0,20.59,20.7,16570
2011-03-04T06:00:00+0000,20.6,21.55,20.41,21.15,12761
2011-03-07T06:00:00+0000,21.2,22.3,20.72,21.8,14344
2011-03-08T06:00:00+0000,21.8,22.2,21.15,21.4,14411
2011-03-09T06:00:00+0000,21.3,22.2,21.2,21.8,13391
2011-03-10T06:00:00+0000,21.8,22.73,21.8,22.7,20878
2011-03-11T06:00:00+0000,23.0,23.0,21.8,22.05,30334
2011-03-14T05:00:00+0000,22.52,22.85,22.1,22.3,22348
2011-03-15T05:00:00+0000,24.0,24.9,22.65,23.45,35769
2011-03-16T05:00:00+0000,23.1,26.0,22.9,24.9,60819
2011-03-17T05:00:00+0000,24.0,24.45,23.45,24.15,22436
2011-03-18T05:00:00+0000,23.55,23.81,22.95,23.35,19153
2011-03-21T05:00:00+0000,22.4,22.52,21.5,21.6,18060
2011-03-22T05:00:00+0000,21.6,21.75,21.25,21.5,11684
2011-03-23T05:00:00+0000,21.7,22.1,20.45,20.5,15435
2011-03-24T05:00:00+0000,20.15,20.35,19.55,19.95,17515
2011-03-25T05:00:00+0000,19.95,20.0,19.4,19.75,14894
2011-03-28T05:00:00+0000,19.8,20.4,19.55,20.3,9726
2011-03-29T05:00:00+0000,20.3,20.6,19.55,19.6,8989
2011-03-30T05:00:00+0000,19.35,19.55,19.1,19.25,7229
2011-03-31T05:00:00+0000,19.3,19.55,19.15,19.3,7797
2011-04-01T05:00:00+0000,19.05,19.3,18.55,19.05,10684
2011-04-04T05:00:00+0000,18.9,19.15,18.64,18.7,7315
2011-04-05T05:00:00+0000,18.7,19.1,18.3,18.55,19110
2011-04-06T05:00:00+0000,18.2,18.65,18.0,18.35,8356
2011-04-07T05:00:00+0000,18.35,18.95,18.15,18.4,12389
2011-04-08T05:00:00+0000,18.2,19.0,17.75,18.65,18595
2011-04-11T05:00:00+0000,18.55,18.65,18.1,18.4,9863
2011-04-12T05:00:00+0000,18.65,19.3,18.43,18.7,18106
2011-04-13T05:00:00+0000,18.4,18.67,18.05,18.3,13219
2011-04-14T05:00:00+0000,18.55,19.05,17.8,17.9,12519
2011-04-15T05:00:00+0000,18.0,18.11,16.7,16.75,25330
2011-04-18T05:00:00+0000,17.2,18.75,17.15,17.3,23547
2011-04-19T05:00:00+0000,17.3,17.3,15.95,16.0,15836
2011-04-20T05:00:00+0000,14.86,14.86,14.86,14.86,0
