Symbol,Name,Latest,"Wkly Opts","Options Vol","Total OI"
UVIX,"vs TR 2X Long VIX Futures ETF",4.02,Yes,46371,358173
UVXY,"Ultra VIX Short-Term 2X Futures ETF",29.95,Yes,28961,243143
VOO,"S&P 500 ETF Vanguard",697.3,Yes,7358,94227
VXUS,"Total Intl Stock ETF Vanguard",86.31,Yes,710,12222
VXX,"Ipath.B S&P 500 VIX Short-Term Futures ETN",24.78,Yes,38565,296053
XBI,"S&P Biotech SPDR",133.62,Yes,11923,573182
XHB,"S&P Homebuilders SPDR",103.23,Yes,9648,172195
XLB,"S&P 500 Materials Sector SPDR",50.92,Yes,3042,676356
XLC,"S&P 500 Communication Sector SPDR",115.61,Yes,423,266478
XLE,"S&P 500 Energy Sector SPDR",57.3,Yes,358617,5075093
XLF,"S&P 500 Financials Sector SPDR",51.43,Yes,124657,6375002
XLI,"S&P 500 Industrial Sector SPDR",172.4,Yes,5403,641866
XLK,"S&P 500 Technology Sector SPDR",195.76,Yes,107106,844577
XLP,"S&P 500 Cons Staples Sector SPDR",82.03,Yes,22439,755513
XLU,"S&P 500 Utilities Sector SPDR",43.1,Yes,61123,1929974
XLV,"S&P 500 Healthcare Sector SPDR",147.84,Yes,13102,594660
XLY,"S&P 500 Cons Disc Sector SPDR",118.19,Yes,21544,511850
XOP,"S&P Oil & Gas Expl & Prod SPDR",167.87,Yes,9392,456232
XRT,"S&P Retail SPDR",83.32,Yes,10489,211382
YINN,"Direxion Daily FTSE China Bull 3X ETF",30.24,Yes,7682,68650
ZSL,"Ultrashort Silver -2X ETF",20.55,Yes,2268,103843
