ticker,S0,end_date_front,end_date_back,px_front,px_back,X_front,X_back,type,sigma,pos,cost
TNA,42.11,2026-04-02,2026-05-15,3.01,6.21,46.5,47,put,0.82,-1,0
IEF,94.6,2026-04-10,2026-05-15,0.93,1.33,95,95,put,0.0537,-1,0
