target,year,f_ivrv,f_vov,f_ivpct,f_ffr
y_risk,2007,0.06442646313115169,-0.07690145910812259,0.04080671721316873,-0.11455748816449504
y_risk,2008,0.15067373196736356,0.018522855666532025,0.05639928765350061,-0.041779729410543955
y_risk,2009,0.3031005090458428,-0.05586231673258142,-0.0005282732131645043,-0.010672391749105614
y_risk,2010,0.16380148126641678,0.058034560672681895,-0.045626694020522,0.015354378429603225
y_risk,2011,0.09443478660527782,0.046993524989208404,0.07654479931387667,-0.12423414874554159
y_risk,2012,0.18372754097279154,0.06718037961613652,-0.03132742584368533,-0.014649222022133982
y_risk,2013,0.07159067001930149,0.09541466728739177,-0.08065396471904322,0.005163582703982096
y_risk,2014,0.015075221728365297,-0.009744571744583796,0.017082661282032452,-0.12565829450297933
y_risk,2015,0.15714404926009498,0.05088274545274348,0.014689746911865484,-0.1299211710491559
y_risk,2016,0.07798788730561557,0.21383121923559736,-0.05094588395119716,0.0063903854900287885
y_risk,2017,0.14051975313847948,0.0906378220458878,0.028885758914926986,-0.046311390804995495
y_risk,2018,0.11327247399185715,-0.08137917068797075,-0.06673559543990429,-0.11782741198728545
y_risk,2019,0.018962383638681808,0.1933566630512228,0.005089930864338906,-0.06268603789552424
y_risk,2020,0.18423022768646458,0.16104994668755157,0.10516030394154166,-0.07276282021704743
y_risk,2021,0.12058191671352281,0.17425572467903322,0.07512840692565502,-0.048562890424464836
y_risk,2022,0.1976055197126201,-0.02004249162320604,0.009582722327809346,-0.08752031832954203
y_risk,2023,0.06150447822240847,0.06208873037780632,0.01667816658558715,-0.06033582003886396
y_risk,2024,0.09111546937586038,0.056581934281957305,0.06544201296708937,-0.11061554488829067
y_risk,2025,0.06673442336184468,0.006748474300605622,-0.05895014408732016,0.015833524384609585
y_risk,2026,0.14498905679715549,0.15727275321245235,-0.07603034118108275,-0.04481598254382916
y_risk,2007,0.0974735504399954,0.0760438088969553,0.011917679046161964,-0.10563490517082116
y_risk,2008,0.14100430425947622,0.07486460564484734,0.023989078090632807,-0.04694026413275355
y_risk,2009,0.10918847682801389,-0.059474869819881745,0.04968843019337624,-0.0542510867417953
y_risk,2010,0.0969569321948794,0.07778295228630572,0.07385081195307633,-0.09108071064804214
y_risk,2011,0.10676284903474129,0.07014245784841842,0.04671597559421107,-0.09476419754601582
y_risk,2012,0.05301485456109371,0.06408063668723137,0.06441454051196166,-0.11773274021879546
y_risk,2013,0.09045637353237537,0.039433253338337054,0.06391472348443414,-0.10975813622728212
y_risk,2014,0.06377319173004031,0.1082068320092064,0.04078935563724502,-0.10489192173234653
y_risk,2015,0.10020010758834304,0.08496051038838238,0.011490502864242096,-0.1211493691104144
y_risk,2016,0.06060019012007885,0.09339457063118611,0.03281300810964164,-0.07802259361223728
y_risk,2017,0.06161068681802263,0.08470727453597157,0.04516454047717892,-0.06735683406119247
y_risk,2018,0.06811648455613721,0.13127524842636598,0.028615028082548365,-0.07434607156829222
y_risk,2019,0.06316377483691392,0.11594207228083248,0.017018427089963737,-0.0529459476501011
y_risk,2020,0.13230422951416435,0.10085363149044095,0.019253046829890822,-0.09420902729683799
y_risk,2021,0.12838897160477228,0.17580020375899902,0.0742689093503701,-0.1079362738302686
y_risk,2022,0.08583231522332437,0.12810336005168932,-0.036293056936748856,-0.06373354812654097
y_risk,2023,0.04559252507060635,0.10330962605780959,0.05294858619032748,-0.07076974959765568
y_risk,2024,0.09554911870267924,0.12485756775942003,0.060500993973870584,-0.06697564377419159
y_risk,2025,0.06587410084217611,0.1221418438800524,0.0385479176870465,-0.0790348087507742
y_risk,2026,0.10348214718605514,0.11197757576920997,-0.009379063991632042,-0.12270875256533399
