universe,target,signal,ic,t,ic_partial,t_partial,pos,days,names
clean liquid ETFs,y_risk,1  log(IV/RV),0.12046022257213268,7.229302452839349,0.11798305203413795,7.395439942732553,0.681602312616147,4843,57.06690068139583
clean liquid ETFs,y_risk,2  ivPctile1y,0.006688665847905758,0.4474261498666876,0.019157040576568262,1.2883872177721885,0.5124974178888659,4841,57.06362321834332
clean liquid ETFs,y_risk,3  flat/std fwd ratio,-0.059035107748790415,-4.057292336352672,-0.0862907271640523,-6.412370513342659,0.4028494734668594,4843,57.06690068139583
clean liquid ETFs,y_risk,+  volOfVol,0.05670587432464449,3.4957962201229758,0.04638939807573834,3.0711204284179914,0.6173859178195333,4843,57.06690068139583
clean liquid ETFs,y_risk,+  volOfIvol,0.0522956576597518,3.6152928761025693,0.04303737925772581,3.0223489798208987,0.5917819533347098,4843,57.06690068139583
clean liquid ETFs,y_risk,control: IV level,-0.06956032066007048,-4.351026817959403,,,0.3830270493495767,4843,57.06690068139583
clean liquid ETFs,y_margin,1  log(IV/RV),0.06166212382529192,3.9143824959417413,0.09834321792086552,6.327104943444893,0.6008672310551311,4843,57.06690068139583
clean liquid ETFs,y_margin,2  ivPctile1y,0.039241667770337996,2.6496958547414793,0.01643532641469476,1.1131557161043695,0.5622805205536047,4841,57.06362321834332
clean liquid ETFs,y_margin,3  flat/std fwd ratio,-0.12535025958013676,-9.439599847987983,-0.08062430344175785,-6.302463313765643,0.2576915135246748,4843,57.06690068139583
clean liquid ETFs,y_margin,+  volOfVol,-0.01674102732005142,-1.1742266362640004,0.044073732922446075,3.038041629539914,0.4875077431344208,4843,57.06690068139583
clean liquid ETFs,y_margin,+  volOfIvol,-0.010891283921738524,-0.7930248515143292,0.03558452074514257,2.5052838099442942,0.47511872806111916,4843,57.06690068139583
clean liquid ETFs,y_margin,control: IV level,0.18617375865369976,9.726723788388947,,,0.7418955193062151,4843,57.06690068139583
single names,y_risk,1  log(IV/RV),0.0877221392952064,14.040832303148028,0.08133368943296612,13.883673184583461,0.8329547800949825,4843,533.245508982036
single names,y_risk,2  ivPctile1y,0.036382382328851284,5.311289979497831,0.021399521208494504,3.40485647241975,0.6386537270287013,4843,533.245508982036
single names,y_risk,3  flat/std fwd ratio,-0.08496216020696079,-14.195636964154552,-0.0652703011944655,-13.471714991725328,0.17282676027255833,4843,533.245508982036
single names,y_risk,+  volOfVol,0.0899449565012396,15.612454674700569,0.08670489699422565,17.352202451580265,0.8732190790832128,4843,533.245508982036
single names,y_risk,+  volOfIvol,0.0645763199296198,13.596813110602982,0.058252486937792995,12.590575939106339,0.8292380755729919,4843,533.245508982036
single names,y_risk,control: IV level,0.09169992548023927,7.9849587536080815,,,0.6995663844724345,4843,533.245508982036
single names,y_margin,1  log(IV/RV),0.08268216074209075,12.387832206365921,0.06713555916503394,11.068344833325947,0.7912450960148668,4843,533.245508982036
single names,y_margin,2  ivPctile1y,0.06393500702476612,8.333566703433444,0.019164778601446896,3.0461735682501403,0.7224860623580426,4843,533.245508982036
single names,y_margin,3  flat/std fwd ratio,-0.13098028440834783,-20.35789781337185,-0.059206216051306174,-11.495127326446916,0.08837497418955192,4843,533.245508982036
single names,y_margin,+  volOfVol,0.10591572824497651,17.1594129321371,0.0877485963199586,17.406222455944153,0.8783811686970886,4843,533.245508982036
single names,y_margin,+  volOfIvol,0.06809929521486663,13.550433440847167,0.055728703916698666,11.911979562201537,0.8253148874664464,4843,533.245508982036
single names,y_margin,control: IV level,0.2625750399105376,25.82069719247716,,,0.9467272351848028,4843,533.245508982036
