Date,Symbol1,Symbol2,Expiry1,Expiry2,DTE1,DTE2,VX1,VX2,Return1,Return2,Dist1,Dist2,W,VX30,VX30r,VX1r,VIX,VIX3M,VVIX,VX30_Premium,VIX_Basis,VX_Basis,logVVIX,logVIX,Return,Volatility,VX30_Premium_zscore,VIX_Basis_zscore,VX_Basis_zscore,Forecast,Exposure,PositionOptimal
2020-08-17,VIQ20,VIU20,2020-08-19,2020-09-16,1,29,21.775,25.825,-0.06661730042456422,-0.04356749613849617,29,1,0.03333333333333333,25.69,-0.04433582294803177,-0.06661730042456422,21.35,27.450001,110.349998,-0.06626439326361926,0.2513144647107779,0.1705804922671357,4.703657114578594,3.0610517396746335,-0.06661730042456422,0.7715040550312331,-0.8089516090495967,1.458597763610207,1.4732632228153937,-1,2592.3389345232063,-119.05115657971098
2020-08-14,VIQ20,VIU20,2020-08-19,2020-09-16,4,32,23.275,26.975,0.0021505384632283433,0.0055762226274361695,26,2,0.07142857142857142,26.71071428571429,0.005331530901421325,0.0021505384632283433,22.049999,28.370001,114.349998,-0.06026751504684314,0.25201972752788127,0.1475306879810677,4.739263902978628,3.09331255654138,0.0021505384632283433,0.7495490073590212,-0.6359767977275752,1.4781665539783948,1.2311012356309339,-1,2668.271160876922,-114.64108102586131
2020-08-13,VIQ20,VIU20,2020-08-19,2020-09-16,5,33,23.225,26.825,-0.0021505384632284734,-0.0018621979310647623,25,3,0.10714285714285714,26.439285714285717,-0.0018930915595108742,-0.0021505384632284734,22.129999,28.17,115.18,-0.0634065826144325,0.24132347301285217,0.14410500381685992,4.7464961220785264,3.096934108875429,-0.0021505384632284734,0.7646186522708596,-0.7330471925223605,1.397811427142881,1.203262823360926,-1,2615.6829866236603,-112.62359468777869
2020-08-12,VIQ20,VIU20,2020-08-19,2020-09-16,6,34,23.275,26.875,-0.06849149268477138,-0.047238573478013135,24,4,0.14285714285714285,26.360714285714288,-0.05027470479326431,-0.06849149268477138,22.280001,28.120001,115.730003,-0.06460629590353831,0.23279164256195556,0.14381666328469614,4.7512599177823915,3.1036894599423857,-0.06849149268477138,0.7799572249937743,-0.7749631163434341,1.3346171710470087,1.2089970918705795,-1,2564.2431865618837,-110.17156548063947
2020-08-11,VIQ20,VIU20,2020-08-19,2020-09-16,7,35,24.925,28.175,0.047236707416448163,0.03797924806521647,23,5,0.17857142857142858,27.59464285714286,0.03963236580650784,0.047236707416448163,24.030001,29.17,118.339996,-0.055519129375130066,0.19383769251660504,0.12256374407793791,4.773561803447635,3.179303091363025,0.047236707416448163,0.7562904695050765,-0.5100638729416022,1.002971983813576,0.981800353891734,-1,2644.48658371805,-106.09775661857773
2020-08-10,VIQ20,VIU20,2020-08-19,2020-09-16,8,36,23.775,27.125,-0.035127578626698616,-0.0254790853009849,22,6,0.21428571428571427,26.40714285714286,-0.02754661958506641,-0.035127578626698616,22.129999,28.049999,111.129997,-0.060354059990753106,0.23705448744265162,0.13182120342916964,4.710700660202144,3.096934108875429,-0.035127578626698616,0.7518561569491538,-0.6593239552291513,1.3916018744949654,1.09219562694817,-1,2660.0832905532156,-111.88573251538237
2020-08-07,VIQ20,VIU20,2020-08-19,2020-09-16,11,39,24.625,27.825,-0.010101095986503933,-0.0017953326186743745,19,9,0.32142857142857145,26.796428571428574,-0.00446504227261959,-0.010101095986503933,22.209999,28.280001,108.18,-0.053886260012571054,0.24161228350747885,0.12217271010345598,4.683796506443281,3.1005425928815713,-0.010101095986503933,0.7559245480072386,-0.4735353507118859,1.4436736104836574,0.9916217237422499,-1,2645.7667041934037,-107.44230270836157
2020-08-06,VIQ20,VIU20,2020-08-19,2020-09-16,12,40,24.875,27.875,-0.017928767090090527,-0.008928630744301318,18,10,0.35714285714285715,26.803571428571423,-0.01214296515351175,-0.017928767090090527,22.65,28.200001,105.839996,-0.05078687250674769,0.21916216147601716,0.11386694673562643,4.6619284820138045,3.120159851929043,-0.017928767090090527,0.7699095080023445,-0.38603010356438816,1.2573927905852247,0.9058511829034823,-1,2597.7078854232172,-104.43046775570723
2020-08-05,VIQ20,VIU20,2020-08-19,2020-09-16,13,41,25.325,28.125,-0.02148520145078612,-0.010610179112015571,17,11,0.39285714285714285,27.025,-0.014882509316532573,-0.02148520145078612,22.99,28.6,105.669998,-0.056644354300535084,0.21834737905071677,0.10486681038983714,4.660321011526092,3.1350593387750902,-0.02148520145078612,0.7825428905556352,-0.5640751861514297,1.260696558323798,0.8113963336946075,-1,2555.7704556997815,-100.91887288054419
2020-08-04,VIQ20,VIU20,2020-08-19,2020-09-16,14,42,25.875,28.425,-0.03419136474827931,-0.032874932827723254,16,12,0.42857142857142855,27.332142857142856,-0.03343911793653299,-0.03419136474827931,23.76,29.09,109,-0.06233106886643884,0.20239097801266603,0.09399178805106655,4.6913478822291435,3.168003494494444,-0.03419136474827931,0.7944318255735371,-0.733868249880334,1.1275590685066528,0.6960702874732699,-1,2517.522505541753,-97.29555576972959
