rank,ticker,med_vol,med_px,cover,asof
117,DIS,32392.0,102.43,1.0,2026-07-17
118,AMAT,31789.0,392.94,1.0,2026-07-17
119,DAL,31644.0,70.235,1.0,2026-07-17
120,DKNG,31564.5,25.130000000000003,1.0,2026-07-17
121,VRT,31141.0,294.62,1.0,2026-07-17
122,BRK_B,30250.0,485.29499999999996,1.0,2026-07-17
123,ET,30193.5,19.045,1.0,2026-07-17
124,VG,29806.0,12.215,1.0,2026-07-17
125,U,29764.5,26.59,1.0,2026-07-17
126,LUNR,29655.5,20.58,1.0,2026-07-17
127,LITE,29548.0,796.265,1.0,2026-07-17
128,QS,29221.5,7.195,1.0,2026-07-17
129,RBLX,29085.5,56.605000000000004,1.0,2026-07-17
130,OWL,28792.5,9.76,1.0,2026-07-17
131,V,28627.5,322.455,1.0,2026-07-17
132,FRMI,28400.5,7.275,1.0,2026-07-17
133,LCID,27964.5,7.955,1.0,2026-07-17
134,DVN,27391.0,44.66,1.0,2026-07-17
135,MP,26718.0,59.239999999999995,1.0,2026-07-17
136,NCLH,26480.0,19.845,1.0,2026-07-17
137,QUBT,26467.5,9.195,1.0,2026-07-17
138,VALE,25722.5,16.055,1.0,2026-07-17
139,CAT,25541.5,792.99,1.0,2026-07-17
140,UUUU,25239.0,19.43,1.0,2026-07-17
141,IBRX,24855.5,7.59,1.0,2026-07-17
142,RIG,24814.0,6.17,1.0,2026-07-17
143,BTDR,24810.0,12.585,1.0,2026-07-17
144,UAL,24591.0,104.475,1.0,2026-07-17
145,JOBY,24293.5,9.695,1.0,2026-07-17
146,RCAT,23918.0,12.465,1.0,2026-07-17
147,LYFT,23833.0,14.05,1.0,2026-07-17
148,CDE,23807.0,19.1,1.0,2026-07-17
149,TGT,23767.5,122.05,1.0,2026-07-17
150,ALAB,23558.5,182.43,1.0,2026-07-17
151,XYZ,23323.5,67.675,1.0,2026-07-17
152,DOW,23191.0,33.985,1.0,2026-07-17
153,ENPH,22806.5,43.24,1.0,2026-07-17
154,AGNC,22752.0,10.754999999999999,1.0,2026-07-17
155,LULU,22546.0,154.695,1.0,2026-07-17
156,CMCSA,22308.5,28.005000000000003,1.0,2026-07-17
157,BSX,22284.5,62.315,1.0,2026-07-17
158,ANET,22262.5,144.39499999999998,1.0,2026-07-17
159,VST,22244.0,158.52,1.0,2026-07-17
160,ASML,22024.5,1458.315,1.0,2026-07-17
161,CRDO,21862.0,159.22500000000002,1.0,2026-07-17
162,B,21723.0,42.150000000000006,1.0,2026-07-17
163,ZETA,21716.5,18.119999999999997,1.0,2026-07-17
164,JBLU,21654.0,5.095000000000001,1.0,2026-07-17
165,SBET,21244.0,6.76,1.0,2026-07-17
166,OSCR,21193.0,16.3,1.0,2026-07-17
167,CELH,21131.5,34.17,1.0,2026-07-17
168,SLS,21065.5,5.035,1.0,2026-07-17
169,NEM,20848.5,111.35,1.0,2026-07-17
170,AXTI,20829.0,61.59,1.0,2026-07-17
171,SLB,20627.5,51.255,1.0,2026-07-17
172,SBUX,20436.0,98.41499999999999,1.0,2026-07-17
173,SCHW,20303.5,93.485,1.0,2026-07-17
174,XPEV,20288.0,16.95,1.0,2026-07-17
175,UPS,20236.5,106.8,1.0,2026-07-17
176,HPE,20179.5,25.835,1.0,2026-07-17
177,PG,20166.0,147.46,1.0,2026-07-17
178,TEM,20089.5,52.26,1.0,2026-07-17
179,MRK,20058.5,117.775,1.0,2026-07-17
180,AI,19777.5,9.29,1.0,2026-07-17
181,JNJ,19676.0,237.695,1.0,2026-07-17
182,GEV,19508.5,938.365,1.0,2026-07-17
183,PINS,19501.0,19.97,1.0,2026-07-17
184,HD,19372.0,338.92,1.0,2026-07-17
185,CCJ,19313.0,113.285,1.0,2026-07-17
186,BMY,19201.0,58.0,1.0,2026-07-17
187,HPQ,18920.5,19.814999999999998,1.0,2026-07-17
188,UPST,18787.5,31.03,1.0,2026-07-17
189,PSKY,18676.5,10.504999999999999,1.0,2026-07-17
190,DDOG,18664.0,130.035,1.0,2026-07-17
191,AFRM,18619.0,64.345,1.0,2026-07-17
192,GLXY,18566.0,25.27,1.0,2026-07-17
193,ZS,18320.0,147.22500000000002,1.0,2026-07-17
194,DJT,18040.5,9.23,1.0,2026-07-17
195,BIDU,18015.5,124.735,1.0,2026-07-17
196,GE,17928.5,313.83000000000004,1.0,2026-07-17
197,PEP,17855.5,152.89,1.0,2026-07-17
198,COHR,17660.5,306.15999999999997,1.0,2026-07-17
199,PTON,17529.0,5.26,1.0,2026-07-17
200,CPNG,17271.0,18.65,1.0,2026-07-17
